source_product_id,category,title,brand,price,currency,description,image_url,source_url,source_platform,rating,tags,attributes,data_quality
phone_demo_000001,phone,Samsung Galaxy S23 12GB+256GB,Samsung,6080,CNY,Samsung Galaxy S23 12GB+256GB 搭载 Dimensity 8300，配备 4500mAh 电池、30W 快充、60Hz 屏幕和后置最高 200MP 摄像头，适合关注日常使用的用户。,https://picsum.photos/seed/phone_demo_000001/480/480,,demo_generated,4.1,"[""拍照"", ""高像素""]","{""os"": ""Android"", ""network_type"": ""4g"", ""chipset"": ""Dimensity 8300"", ""ram_gb"": 12, ""storage_gb"": 256, ""battery_mah"": 4500, ""fast_charge_w"": 30, ""screen_size_in"": 6.26, ""refresh_rate_hz"": 60, ""rear_camera_max_mp"": 200, ""front_camera_mp"": 12, ""nfc"": false, ""ir_blaster"": false}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000002,phone,Motorola Razr 40 8GB+1024GB,Motorola,5960,CNY,Motorola Razr 40 8GB+1024GB 搭载 Snapdragon 7+ Gen 2，配备 5200mAh 电池、45W 快充、60Hz 屏幕和后置最高 50MP 摄像头，适合关注性能的用户。,https://picsum.photos/seed/phone_demo_000002/480/480,,demo_generated,4.4,"[""5g"", ""长续航"", ""拍照"", ""NFC""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Snapdragon 7+ Gen 2"", ""ram_gb"": 8, ""storage_gb"": 1024, ""battery_mah"": 5200, ""fast_charge_w"": 45, ""screen_size_in"": 6.39, ""refresh_rate_hz"": 60, ""rear_camera_max_mp"": 50, ""front_camera_mp"": 32, ""nfc"": true, ""ir_blaster"": false}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000003,phone,Oppo A2 Pro 12GB+128GB,Oppo,4640,CNY,Oppo A2 Pro 12GB+128GB 搭载 Dimensity 8300，配备 5500mAh 电池、67W 快充、60Hz 屏幕和后置最高 108MP 摄像头，适合关注日常使用的用户。,https://picsum.photos/seed/phone_demo_000003/480/480,,demo_generated,4.3,"[""5g"", ""长续航"", ""快充"", ""拍照"", ""高像素"", ""NFC"", ""红外""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Dimensity 8300"", ""ram_gb"": 12, ""storage_gb"": 128, ""battery_mah"": 5500, ""fast_charge_w"": 67, ""screen_size_in"": 6.16, ""refresh_rate_hz"": 60, ""rear_camera_max_mp"": 108, ""front_camera_mp"": 12, ""nfc"": true, ""ir_blaster"": true}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000004,phone,OnePlus Ace 2 6GB+256GB,OnePlus,2700,CNY,OnePlus Ace 2 6GB+256GB 搭载 Snapdragon 7+ Gen 2，配备 6000mAh 电池、20W 快充、144Hz 屏幕和后置最高 64MP 摄像头，适合关注性能的用户。,https://picsum.photos/seed/phone_demo_000004/480/480,,demo_generated,4.6,"[""5g"", ""高刷屏"", ""长续航"", ""拍照""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Snapdragon 7+ Gen 2"", ""ram_gb"": 6, ""storage_gb"": 256, ""battery_mah"": 6000, ""fast_charge_w"": 20, ""screen_size_in"": 6.24, ""refresh_rate_hz"": 144, ""rear_camera_max_mp"": 64, ""front_camera_mp"": 32, ""nfc"": false, ""ir_blaster"": false}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000005,phone,OnePlus OnePlus 12 16GB+1024GB,OnePlus,5230,CNY,OnePlus OnePlus 12 16GB+1024GB 搭载 Snapdragon 8 Gen 3，配备 4800mAh 电池、100W 快充、90Hz 屏幕和后置最高 64MP 摄像头，适合关注日常使用的用户。,https://picsum.photos/seed/phone_demo_000005/480/480,,demo_generated,4.8,"[""5g"", ""快充"", ""拍照"", ""性能"", ""NFC""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Snapdragon 8 Gen 3"", ""ram_gb"": 16, ""storage_gb"": 1024, ""battery_mah"": 4800, ""fast_charge_w"": 100, ""screen_size_in"": 6.35, ""refresh_rate_hz"": 90, ""rear_camera_max_mp"": 64, ""front_camera_mp"": 12, ""nfc"": true, ""ir_blaster"": false}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000006,phone,Realme Realme 12 16GB+256GB,Realme,8050,CNY,Realme Realme 12 16GB+256GB 搭载 Snapdragon 7+ Gen 2，配备 4800mAh 电池、30W 快充、90Hz 屏幕和后置最高 200MP 摄像头，适合关注续航的用户。,https://picsum.photos/seed/phone_demo_000006/480/480,,demo_generated,4.5,"[""5g"", ""拍照"", ""高像素"", ""NFC""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Snapdragon 7+ Gen 2"", ""ram_gb"": 16, ""storage_gb"": 256, ""battery_mah"": 4800, ""fast_charge_w"": 30, ""screen_size_in"": 6.17, ""refresh_rate_hz"": 90, ""rear_camera_max_mp"": 200, ""front_camera_mp"": 50, ""nfc"": true, ""ir_blaster"": false}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000007,phone,Apple iPhone 13 8GB+1024GB,Apple,11920,CNY,Apple iPhone 13 8GB+1024GB 搭载 A16，配备 6000mAh 电池、27W 快充、144Hz 屏幕和后置最高 200MP 摄像头，适合关注性能的用户。,https://picsum.photos/seed/phone_demo_000007/480/480,,demo_generated,4.6,"[""5g"", ""高刷屏"", ""长续航"", ""拍照"", ""高像素"", ""性能"", ""NFC"", ""红外""]","{""os"": ""iOS"", ""network_type"": ""5g"", ""chipset"": ""A16"", ""ram_gb"": 8, ""storage_gb"": 1024, ""battery_mah"": 6000, ""fast_charge_w"": 27, ""screen_size_in"": 6.53, ""refresh_rate_hz"": 144, ""rear_camera_max_mp"": 200, ""front_camera_mp"": 12, ""nfc"": true, ""ir_blaster"": true}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000008,phone,Vivo S18 6GB+512GB,Vivo,3590,CNY,Vivo S18 6GB+512GB 搭载 Dimensity 8300，配备 5000mAh 电池、30W 快充、144Hz 屏幕和后置最高 48MP 摄像头，适合关注日常使用的用户。,https://picsum.photos/seed/phone_demo_000008/480/480,,demo_generated,4.6,"[""5g"", ""高刷屏"", ""长续航""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Dimensity 8300"", ""ram_gb"": 6, ""storage_gb"": 512, ""battery_mah"": 5000, ""fast_charge_w"": 30, ""screen_size_in"": 6.22, ""refresh_rate_hz"": 144, ""rear_camera_max_mp"": 48, ""front_camera_mp"": 20, ""nfc"": false, ""ir_blaster"": false}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000009,phone,Xiaomi Xiaomi Civi 6GB+512GB,Xiaomi,2300,CNY,Xiaomi Xiaomi Civi 6GB+512GB 搭载 Snapdragon 8 Gen 3，配备 5000mAh 电池、20W 快充、60Hz 屏幕和后置最高 64MP 摄像头，适合关注性能的用户。,https://picsum.photos/seed/phone_demo_000009/480/480,,demo_generated,4.2,"[""5g"", ""长续航"", ""拍照"", ""性能"", ""NFC"", ""红外"", ""高性价比""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Snapdragon 8 Gen 3"", ""ram_gb"": 6, ""storage_gb"": 512, ""battery_mah"": 5000, ""fast_charge_w"": 20, ""screen_size_in"": 6.49, ""refresh_rate_hz"": 60, ""rear_camera_max_mp"": 64, ""front_camera_mp"": 20, ""nfc"": true, ""ir_blaster"": true}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
phone_demo_000010,phone,Samsung Galaxy Z Flip 8GB+256GB,Samsung,4850,CNY,Samsung Galaxy Z Flip 8GB+256GB 搭载 Dimensity 8300，配备 5500mAh 电池、67W 快充、90Hz 屏幕和后置最高 64MP 摄像头，适合关注续航的用户。,https://picsum.photos/seed/phone_demo_000010/480/480,,demo_generated,4.7,"[""5g"", ""长续航"", ""快充"", ""拍照"", ""NFC"", ""红外""]","{""os"": ""Android"", ""network_type"": ""5g"", ""chipset"": ""Dimensity 8300"", ""ram_gb"": 8, ""storage_gb"": 256, ""battery_mah"": 5500, ""fast_charge_w"": 67, ""screen_size_in"": 6.42, ""refresh_rate_hz"": 90, ""rear_camera_max_mp"": 64, ""front_camera_mp"": 50, ""nfc"": true, ""ir_blaster"": true}","{""missing_fields"": [], ""warnings"": [""demo generated product; not real marketplace data""]}"
